# Pathway	MSM5FZ9X_P_Coverage
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Clostridium.s__Clostridium_symbiosum	0.0064256358
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Roseburia.s__Roseburia_intestinalis	0.0000000000
PWY0-1319: CDP-diacylglycerol biosynthesis II	0.0464884125
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6863539220
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Clostridium.s__Clostridium_symbiosum	0.0064256358
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Roseburia.s__Roseburia_intestinalis	0.0000000000
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.0012393466
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.0010459607
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.0003343758
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Roseburia.s__Roseburia_intestinalis	0.0365505308
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.6472583546
PWY-5686: UMP biosynthesis	0.0000407507
PWY-5686: UMP biosynthesis|g__Holdemania.s__Holdemania_filiformis	0.4010751529
PWY-5686: UMP biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.1054506261
PWY-5686: UMP biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0.0000000000
PWY-2942: L-lysine biosynthesis III	0.0000017315
PWY-2942: L-lysine biosynthesis III|g__Prevotella.s__Prevotella_buccae	0.0000086612
PWY-2942: L-lysine biosynthesis III|g__Akkermansia.s__Akkermansia_muciniphila	0.0000000025
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	0.0000611190
P164-PWY: purine nucleobases degradation I (anaerobic)	0.0000002087
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.0001333881
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Prevotella.s__Prevotella_buccae	0.9504655305
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.0000000000
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0.0000000000
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	0.0000002087
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Roseburia.s__Roseburia_intestinalis	0.3975688946
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Prevotella.s__Prevotella_buccae	0.0000000000
TRNA-CHARGING-PWY: tRNA charging	0.0000000000
PWY-6527: stachyose degradation	0.0001701277
PWY-6527: stachyose degradation|g__Roseburia.s__Roseburia_intestinalis	0.9987988922
PWY-5973: cis-vaccenate biosynthesis	0.0000000010
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	0.0000000000
PWY-5097: L-lysine biosynthesis VI	0.0000000002
PWY-5097: L-lysine biosynthesis VI|g__Akkermansia.s__Akkermansia_muciniphila	0.0000000000
PWY-6609: adenine and adenosine salvage III	0.0000000622
PWY-6609: adenine and adenosine salvage III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.5910742828
PWY-6609: adenine and adenosine salvage III|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0.5182542621
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.0000000000
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0.0000000000
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.0000000000
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0000000118
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Akkermansia.s__Akkermansia_muciniphila	0.0002599533
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Roseburia.s__Roseburia_intestinalis	0.0000618310
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Clostridium.s__Clostridium_hathewayi	0.0002023189
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Flavonifractor.s__Flavonifractor_plautii	0.0000000103
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	0.0000000000
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	0.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)	0.0000000008
PWY-7663: gondoate biosynthesis (anaerobic)|g__Prevotella.s__Prevotella_buccae	0.1914806851
PWY-7663: gondoate biosynthesis (anaerobic)|g__Escherichia.s__Escherichia_coli	0.3457258912
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	0.0000000004
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	0.0000000004
PWY-7242: D-fructuronate degradation	0.0000000023
PWY-7242: D-fructuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.9984249166
PWY-5676: acetyl-CoA fermentation to butanoate II	0.0000000000
COA-PWY: coenzyme A biosynthesis I	0.0000000000
COA-PWY: coenzyme A biosynthesis I|g__Roseburia.s__Roseburia_intestinalis	0.0323498052
COA-PWY: coenzyme A biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila	0.0001592740
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.0000000000
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.0000000000
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila	0.0000000000
THRESYN-PWY: superpathway of L-threonine biosynthesis	0.0000000000
PWY-6123: inosine-5'-phosphate biosynthesis I	0.0000000000
PANTO-PWY: phosphopantothenate biosynthesis I	0.0000000001
PANTO-PWY: phosphopantothenate biosynthesis I|g__Akkermansia.s__Akkermansia_muciniphila	0.0000000005
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	0.0000000000
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.0000000000
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0000792594
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.0000000000
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Flavonifractor.s__Flavonifractor_plautii	0.0108451718
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Akkermansia.s__Akkermansia_muciniphila	0.0000000000
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.0000000000
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Escherichia.s__Escherichia_coli	0.4442101489
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.0000000000
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0000871970
PWY-4242: pantothenate and coenzyme A biosynthesis III	0.0000000000
PWY-6124: inosine-5'-phosphate biosynthesis II	0.0000000000
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	0.1577501956
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	0.0000000000
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	0.0000000000
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0.0000000000
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.0000000000
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Prevotella.s__Prevotella_buccae	0.0000063515
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.0000000000
PWY-3841: folate transformations II	0.0000000000
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.0000000000
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.0000000000
PWY-6151: S-adenosyl-L-methionine cycle I	0.0000000000
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	0.0000000000
PWY-7664: oleate biosynthesis IV (anaerobic)	0.0000000000
PWY-7664: oleate biosynthesis IV (anaerobic)|g__Prevotella.s__Prevotella_buccae	0.0000044461
CITRULBIO-PWY: L-citrulline biosynthesis	0.0000000000
PWYG-321: mycolate biosynthesis	0.0000000000
GALACTUROCAT-PWY: D-galacturonate degradation I	0.0000000000
GALACTUROCAT-PWY: D-galacturonate degradation I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.9981702557
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.0000000000
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|g__Prevotella.s__Prevotella_buccae	0.0000047637
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0.0000000000
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.0000000000
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I|g__Roseburia.s__Roseburia_intestinalis	0.0037124486
PENTOSE-P-PWY: pentose phosphate pathway	0.0000000000
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	0.0000000000
PWY0-862: (5Z)-dodec-5-enoate biosynthesis|g__Prevotella.s__Prevotella_buccae	0.0000031758
PWY-4984: urea cycle	0.0000000000
PWY-7196: superpathway of pyrimidine ribonucleosides salvage	0.0000000000
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.0000000000
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis	0.0000000000
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0.0000000000
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.3899432784
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	0.0000000000
PWY-7003: glycerol degradation to butanol	0.0000000000
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	0.0000000000
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.0000000000
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0.0000000000
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|g__Roseburia.s__Roseburia_intestinalis	0.0000377385
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.0000000000
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.8362203266
PWY-6700: queuosine biosynthesis	0.0000000000
PWY-6700: queuosine biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0.0000000052
PWY-6608: guanosine nucleotides degradation III	0.0000000000
PWY-6608: guanosine nucleotides degradation III|g__Roseburia.s__Roseburia_intestinalis	0.0000301910
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.0000000000
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0.0000000000
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	0.0000000000
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	0.0000000000
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.0000000000
FUCCAT-PWY: fucose degradation	0.0000000000
PWY-7199: pyrimidine deoxyribonucleosides salvage	0.0000000000
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	0.0000000000
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	0.0000000000
CENTFERM-PWY: pyruvate fermentation to butanoate	0.0000000000
GLUTORN-PWY: L-ornithine biosynthesis	0.0000000000
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.0000000000
P108-PWY: pyruvate fermentation to propanoate I	0.0000000000
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0.0000000000
PWY-4702: phytate degradation I	0.0000000000
PWY-4702: phytate degradation I|g__Akkermansia.s__Akkermansia_muciniphila	0.0017758843
P161-PWY: acetylene degradation	0.0000000000
PWY-6628: superpathway of L-phenylalanine biosynthesis	0.0000000000
PWY-6630: superpathway of L-tyrosine biosynthesis	0.0000000000
NAGLIPASYN-PWY: lipid IVA biosynthesis	0.0000000000
HISTSYN-PWY: L-histidine biosynthesis	0.0000000000
PWY-6703: preQ0 biosynthesis	0.0000000000
