# Pathway	HSM5MD82_P_Coverage
PWY0-1479: tRNA processing	0.0000000000
THRESYN-PWY: superpathway of L-threonine biosynthesis	0.0000000000
P42-PWY: incomplete reductive TCA cycle	0.0000000000
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.0000000000
CITRULBIO-PWY: L-citrulline biosynthesis	0.0000000000
TRNA-CHARGING-PWY: tRNA charging	0.0000000000
PWY-5083: NAD/NADH phosphorylation and dephosphorylation	0.0000000000
PWY-6527: stachyose degradation	0.0000000000
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.0000000000
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	0.0000000000
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.0000000000
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	0.0000000000
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	0.0000000000
PWYG-321: mycolate biosynthesis	0.0000000000
PWY-7664: oleate biosynthesis IV (anaerobic)	0.0000000000
PWY-6317: galactose degradation I (Leloir pathway)	0.0000000000
PWY-6317: galactose degradation I (Leloir pathway)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0002645635
PWY66-422: D-galactose degradation V (Leloir pathway)	0.0000000000
PWY66-422: D-galactose degradation V (Leloir pathway)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.0002645635
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.0000000000
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	0.0000000000
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.0000000000
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.0000000000
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.0000000000
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.0000000000
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	0.0000000000
PWY-5103: L-isoleucine biosynthesis III	0.0000000000
SO4ASSIM-PWY: sulfate reduction I (assimilatory)	0.0000000000
PWY-5101: L-isoleucine biosynthesis II	0.0000000000
PWY-6608: guanosine nucleotides degradation III	0.0000000000
P164-PWY: purine nucleobases degradation I (anaerobic)	0.0000000000
PWY0-1061: superpathway of L-alanine biosynthesis	0.0000000000
PWY0-1061: superpathway of L-alanine biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000899516
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0.0000000000
PWY-4984: urea cycle	0.0000000000
PWY-5173: superpathway of acetyl-CoA biosynthesis	0.0000000000
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Escherichia.s__Escherichia_coli	0.0065102371
ANAEROFRUCAT-PWY: homolactic fermentation	0.0000000000
PWY-6168: flavin biosynthesis III (fungi)	0.0000000000
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.0000000000
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0.0000000000
PENTOSE-P-PWY: pentose phosphate pathway	0.0000000000
FAO-PWY: fatty acid &beta;-oxidation I	0.0000000000
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.0000000000
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	0.0000000000
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0000025061
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	0.0000000000
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000248303
GLUDEG-I-PWY: GABA shunt	0.0000000000
RHAMCAT-PWY: L-rhamnose degradation I	0.0000000000
PWY-5136: fatty acid &beta;-oxidation II (peroxisome)	0.0000000000
PWY-5100: pyruvate fermentation to acetate and lactate II	0.0000000000
