# Pathway	CSM5MCU4_P_Coverage
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.0000000006
PWY-6123: inosine-5'-phosphate biosynthesis I	0.0076824808
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	0.9133559881
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	0.0000000000
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|unclassified	0.0000000017
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Parasutterella.s__Parasutterella_excrementihominis	0.2611235680
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.0000000006
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.0687978323
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified	0.0220675870
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	0.0000000000
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Parasutterella.s__Parasutterella_excrementihominis	0.0000000000
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.0000000000
HISDEG-PWY: L-histidine degradation I	0.0944526634
HISDEG-PWY: L-histidine degradation I|unclassified	0.0019686398
PWY-6124: inosine-5'-phosphate biosynthesis II	0.0064102752
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	0.9015919683
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.4321166407
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	0.0000000000
PWY-7111: pyruvate fermentation to isobutanol (engineered)	0.4321166407
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	0.0000000000
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Bacteroides.s__Bacteroides_vulgatus	0.0000000000
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Parasutterella.s__Parasutterella_excrementihominis	0.1662299323
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.0153105478
PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Blautia.s__Ruminococcus_torques	0.4545658928
VALSYN-PWY: L-valine biosynthesis	0.4321166407
VALSYN-PWY: L-valine biosynthesis|unclassified	0.0000000000
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.0000000000
VALSYN-PWY: L-valine biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	0.1662299323
VALSYN-PWY: L-valine biosynthesis|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.0153105478
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Ruminococcus_torques	0.4545658928
VALSYN-PWY: L-valine biosynthesis|g__Roseburia.s__Roseburia_hominis	0.0000601593
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	0.0000000000
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|unclassified	0.0000000008
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.3305452383
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation|g__Parasutterella.s__Parasutterella_excrementihominis	0.2531358187
PWY0-1296: purine ribonucleosides degradation	0.0000000019
PWY0-1296: purine ribonucleosides degradation|unclassified	0.0158441717
PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_clostridioforme	0.2043831901
PWY0-1296: purine ribonucleosides degradation|g__Clostridium.s__Clostridium_bolteae	0.0240005975
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0002780881
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|unclassified	0.0000000001
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Bacteroides.s__Bacteroides_vulgatus	0.0000000000
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Clostridium.s__Clostridium_bolteae	0.7692092702
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	0.0000000000
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|unclassified	0.0000000017
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.0000000000
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified	0.0000000000
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Parasutterella.s__Parasutterella_excrementihominis	0.0000000000
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.0000000000
PWY-621: sucrose degradation III (sucrose invertase)	0.0000000000
PWY-621: sucrose degradation III (sucrose invertase)|unclassified	0.0006740622
PWY66-400: glycolysis VI (metazoan)	0.0000000000
PWY66-400: glycolysis VI (metazoan)|unclassified	0.0000000000
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	0.0000000000
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|unclassified	0.0000000000
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	0.0000000077
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Odoribacter.s__Odoribacter_splanchnicus	0.0000000000
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.0000000000
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	0.0000000000
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.0000000000
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)|unclassified	0.0000000000
ANAEROFRUCAT-PWY: homolactic fermentation	0.0000000000
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	0.0000000000
PANTO-PWY: phosphopantothenate biosynthesis I	0.0002780802
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	0.0000000000
PANTO-PWY: phosphopantothenate biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	0.0000000329
PANTO-PWY: phosphopantothenate biosynthesis I|g__Parasutterella.s__Parasutterella_excrementihominis	0.0000177543
PWY-5484: glycolysis II (from fructose 6-phosphate)	0.0000000000
PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified	0.0000000000
PWY-5686: UMP biosynthesis	0.0000000000
PWY-5686: UMP biosynthesis|unclassified	0.0000000000
PWY-2942: L-lysine biosynthesis III	0.0000000000
PWY-2942: L-lysine biosynthesis III|unclassified	0.0000000000
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	0.0000000000
PWY-2942: L-lysine biosynthesis III|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.0093172038
PWY-2942: L-lysine biosynthesis III|g__Bacteroides.s__Bacteroides_dorei	0.0000000000
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)	0.0000000000
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|unclassified	0.0000000000
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	0.0000000000
PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.0000000000
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0.0000000000
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified	0.0000000000
PWY-5097: L-lysine biosynthesis VI	0.0000000000
PWY-5097: L-lysine biosynthesis VI|unclassified	0.0000000000
PWY-5097: L-lysine biosynthesis VI|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.0107397612
PWY-6700: queuosine biosynthesis	0.0000000000
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.0000000001
PWY-6700: queuosine biosynthesis|unclassified	0.0000000000
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_dorei	0.0001724867
PWY-6700: queuosine biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	0.0077539093
PWY-6700: queuosine biosynthesis|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.0000000010
PWY-5973: cis-vaccenate biosynthesis	0.0000000000
PWY-5973: cis-vaccenate biosynthesis|unclassified	0.0000000000
PWY-7199: pyrimidine deoxyribonucleosides salvage	0.0000000000
PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified	0.0000000000
PWY-5100: pyruvate fermentation to acetate and lactate II	0.0000000000
PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified	0.0000000000
PWY-5100: pyruvate fermentation to acetate and lactate II|g__Blautia.s__Ruminococcus_torques	0.4206982743
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0.0000000000
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)|unclassified	0.0000000000
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.0000000000
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|unclassified	0.0000000000
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	0.0000000000
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II|unclassified	0.0000000000
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.0000000000
PWY-3001: superpathway of L-isoleucine biosynthesis I|unclassified	0.0000000000
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.0000000000
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|unclassified	0.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)	0.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)|unclassified	0.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)|g__Odoribacter.s__Odoribacter_splanchnicus	0.0134564183
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.0000000000
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|unclassified	0.0000000000
PWY-5103: L-isoleucine biosynthesis III	0.0000000000
PWY-5103: L-isoleucine biosynthesis III|unclassified	0.0000000000
THRESYN-PWY: superpathway of L-threonine biosynthesis	0.0000000000
THRESYN-PWY: superpathway of L-threonine biosynthesis|unclassified	0.0000000000
COA-PWY: coenzyme A biosynthesis I	0.0000000000
COA-PWY: coenzyme A biosynthesis I|unclassified	0.0000000000
P42-PWY: incomplete reductive TCA cycle	0.0000000000
P42-PWY: incomplete reductive TCA cycle|unclassified	0.0000000000
PWY-5676: acetyl-CoA fermentation to butanoate II	0.0000000000
PWY-5676: acetyl-CoA fermentation to butanoate II|unclassified	0.0000000000
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.0000000000
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.0002048960
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Parasutterella.s__Parasutterella_excrementihominis	0.0000000001
PWY-6168: flavin biosynthesis III (fungi)	0.0000000000
PWY-6168: flavin biosynthesis III (fungi)|unclassified	0.0000000000
PWY-5659: GDP-mannose biosynthesis	0.0000000000
PWY-5659: GDP-mannose biosynthesis|unclassified	0.0000000000
PWY-5104: L-isoleucine biosynthesis IV	0.0000000000
PWY-5104: L-isoleucine biosynthesis IV|unclassified	0.0000000000
ARO-PWY: chorismate biosynthesis I	0.0000000000
ARO-PWY: chorismate biosynthesis I|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	0.0002866991
ARO-PWY: chorismate biosynthesis I|g__Parasutterella.s__Parasutterella_excrementihominis	0.0000000001
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	0.0000000000
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)|unclassified	0.0000000000
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	0.0000000000
