# Pathway	HSM5MD4U_P_Coverage
PWY-6609: adenine and adenosine salvage III|g__Anaerotruncus.s__Anaerotruncus_colihominis	0.8431912511
PWY-6897: thiamin salvage II	0.0000000000
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.0000000000
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Campylobacter.s__Campylobacter_gracilis	0.7641348703
PWY-5973: cis-vaccenate biosynthesis	0.0000000000
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	0.0000000000
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0987185786
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)	0.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)|g__Escherichia.s__Escherichia_coli	0.7197469349
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0.0000000000
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	0.0000000017
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Escherichia.s__Escherichia_coli	0.0024512989
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.0000000000
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.0000000000
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.0000000000
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0.0098323326
THRESYN-PWY: superpathway of L-threonine biosynthesis	0.0000000000
GLUCONEO-PWY: gluconeogenesis I	0.0000000000
PWY-7199: pyrimidine deoxyribonucleosides salvage	0.0000000000
PWY-6700: queuosine biosynthesis	0.0000000000
PWY-6700: queuosine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.0000000000
PWY-7208: superpathway of pyrimidine nucleobases salvage	0.0000000000
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	0.0000000000
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	0.4251060354
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	0.0000000000
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)|g__Campylobacter.s__Campylobacter_curvus	0.9885496509
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)	0.0000000000
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.0000000000
PWY-5676: acetyl-CoA fermentation to butanoate II	0.0000000000
COA-PWY: coenzyme A biosynthesis I	0.0000000000
COA-PWY: coenzyme A biosynthesis I|g__Megasphaera.s__Megasphaera_micronuciformis	0.0000000149
PWY-5103: L-isoleucine biosynthesis III	0.0000000000
PWY-5103: L-isoleucine biosynthesis III|g__Akkermansia.s__Akkermansia_muciniphila	0.0053054563
PWY66-422: D-galactose degradation V (Leloir pathway)	0.0000000000
PWY66-422: D-galactose degradation V (Leloir pathway)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	0.0000329338
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0.0000000000
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.0000000000
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis|g__Escherichia.s__Escherichia_coli	0.7890888754
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0.0000000000
PWY66-409: superpathway of purine nucleotide salvage	0.0000000000
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	0.0000000000
CITRULBIO-PWY: L-citrulline biosynthesis	0.0000000000
PWY-6317: galactose degradation I (Leloir pathway)	0.0000000000
PWY-6317: galactose degradation I (Leloir pathway)|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	0.0000329338
TRNA-CHARGING-PWY: tRNA charging	0.0000000000
P42-PWY: incomplete reductive TCA cycle	0.0000000000
PWY-841: superpathway of purine nucleotides de novo biosynthesis I	0.0000000000
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I	0.0000000000
PWY-5101: L-isoleucine biosynthesis II	0.0000000000
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	0.0000000000
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	0.0000000000
PWY-4984: urea cycle	0.0000000000
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	0.0000000000
RHAMCAT-PWY: L-rhamnose degradation I	0.0000000000
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.0000000000
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.0000000000
PWY-6527: stachyose degradation	0.0000000000
PWY-6527: stachyose degradation|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	0.0053510874
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation	0.0000000000
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	0.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	0.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Escherichia.s__Escherichia_coli	0.9784715210
PWY-5083: NAD/NADH phosphorylation and dephosphorylation	0.0000000000
PWY0-1261: anhydromuropeptides recycling	0.0000000000
PWY0-1261: anhydromuropeptides recycling|g__Escherichia.s__Escherichia_coli	0.0029502090
GLYOXYLATE-BYPASS: glyoxylate cycle	0.0000000000
GLYOXYLATE-BYPASS: glyoxylate cycle|g__Escherichia.s__Escherichia_coli	0.9119634581
PWY-3781: aerobic respiration I (cytochrome c)	0.0000000000
PWY-3781: aerobic respiration I (cytochrome c)|g__Campylobacter.s__Campylobacter_curvus	0.7401463487
PWY-4242: pantothenate and coenzyme A biosynthesis III	0.0000000000
PWY0-862: (5Z)-dodec-5-enoate biosynthesis	0.0000000000
PWY0-862: (5Z)-dodec-5-enoate biosynthesis|g__Escherichia.s__Escherichia_coli	0.7443926439
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0.0000000000
PWY0-1297: superpathway of purine deoxyribonucleosides degradation|g__Anaerotruncus.s__Anaerotruncus_colihominis	0.8504846305
PWY-6608: guanosine nucleotides degradation III	0.0000000000
P164-PWY: purine nucleobases degradation I (anaerobic)	0.0000000000
PWY-6353: purine nucleotides degradation II (aerobic)	0.0000000000
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.0000000000
FASYN-ELONG-PWY: fatty acid elongation -- saturated|g__Escherichia.s__Escherichia_coli	0.2317888404
PWY-7664: oleate biosynthesis IV (anaerobic)	0.0000000000
PWY-7664: oleate biosynthesis IV (anaerobic)|g__Escherichia.s__Escherichia_coli	0.2579503425
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I	0.0000000000
PWY-6123: inosine-5'-phosphate biosynthesis I	0.0000000000
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0281826849
PWY-6630: superpathway of L-tyrosine biosynthesis	0.0000000000
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.0000000000
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|g__Escherichia.s__Escherichia_coli	0.1875843649
PWY-5723: Rubisco shunt	0.0000000000
PWY-6703: preQ0 biosynthesis	0.0000000000
PWY-6703: preQ0 biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.0000000000
PWY-6124: inosine-5'-phosphate biosynthesis II	0.0000000000
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Campylobacter.s__Campylobacter_curvus	0.1333403130
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Escherichia.s__Escherichia_coli	0.0279022245
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.0000000000
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	0.0000000000
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.0000000000
PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	0.0000000000
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0.0000000000
PWY-6936: seleno-amino acid biosynthesis	0.0000000000
PWY-6936: seleno-amino acid biosynthesis|g__Escherichia.s__Escherichia_coli	0.0002012852
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0.0000000000
ANAEROFRUCAT-PWY: homolactic fermentation	0.0000000000
PWY-6168: flavin biosynthesis III (fungi)	0.0000000000
PWY-6606: guanosine nucleotides degradation II	0.0000000000
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	0.0000000000
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.0000000000
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	0.0000000000
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.0000000000
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.0000000000
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Escherichia.s__Escherichia_coli	0.1660888255
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	0.0000000000
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	0.0000000000
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	0.0000000000
PENTOSE-P-PWY: pentose phosphate pathway	0.0000000000
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0.0000000000
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	0.0000000000
PWY-7234: inosine-5'-phosphate biosynthesis III	0.0000000000
PWY-4041: &gamma;-glutamyl cycle	0.0000000000
PWY-4041: &gamma;-glutamyl cycle|g__Escherichia.s__Escherichia_coli	0.0008386869
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	0.0000000000
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis|g__Escherichia.s__Escherichia_coli	0.0010371553
P108-PWY: pyruvate fermentation to propanoate I	0.0000000000
PWY-4981: L-proline biosynthesis II (from arginine)	0.0000000000
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.0000000000
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Escherichia.s__Escherichia_coli	0.0637136310
GALACTUROCAT-PWY: D-galacturonate degradation I	0.0000000000
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.0000000000
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.0000000000
PWY-7242: D-fructuronate degradation	0.0000000000
PWY-7242: D-fructuronate degradation|g__Escherichia.s__Escherichia_coli	0.1796459668
PWY-6803: phosphatidylcholine acyl editing	0.0000000000
PWY-6803: phosphatidylcholine acyl editing|g__Escherichia.s__Escherichia_coli	0.2608919796
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.0000000000
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation|g__Escherichia.s__Escherichia_coli	0.0295746874
PWY-5918: superpathay of heme biosynthesis from glutamate	0.0000000000
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	0.0000000000
PWY-6305: putrescine biosynthesis IV	0.0000000000
PWY-6305: putrescine biosynthesis IV|g__Escherichia.s__Escherichia_coli	0.0065972347
PWY-5505: L-glutamate and L-glutamine biosynthesis	0.0000000000
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.0000000000
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0.0000000000
PWY-2723: trehalose degradation V	0.0000000000
HISTSYN-PWY: L-histidine biosynthesis	0.0000000000
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	0.0000000000
GLUTORN-PWY: L-ornithine biosynthesis	0.0000000000
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	0.0000000000
PWY-5173: superpathway of acetyl-CoA biosynthesis	0.0000000000
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Escherichia.s__Escherichia_coli	0.0002782686
