# Pathway	CSM5MCV1_P_Coverage
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Escherichia.s__Escherichia_coli	0.0000000000
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.0000000000
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|g__Escherichia.s__Escherichia_coli	0.9347096375
PWY-5897: superpathway of menaquinol-11 biosynthesis	0.0000000000
PWY-5897: superpathway of menaquinol-11 biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-5898: superpathway of menaquinol-12 biosynthesis	0.0000000000
PWY-5898: superpathway of menaquinol-12 biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-5899: superpathway of menaquinol-13 biosynthesis	0.0000000000
PWY-5899: superpathway of menaquinol-13 biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate	0.0000000000
P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0.0000000000
PWY-5838: superpathway of menaquinol-8 biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0000000000
THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I	0.0000000000
PWY-3001: superpathway of L-isoleucine biosynthesis I	0.0000000000
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.0000000000
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Sutterella.s__Sutterella_wadsworthensis	0.0060696039
FUCCAT-PWY: fucose degradation	0.0000000000
FUCCAT-PWY: fucose degradation|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-5103: L-isoleucine biosynthesis III	0.0000000000
PWY-6628: superpathway of L-phenylalanine biosynthesis	0.0000000000
PWY-6628: superpathway of L-phenylalanine biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-6113: superpathway of mycolate biosynthesis	0.0000000000
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	0.0000000000
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.0000000000
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Sutterella.s__Sutterella_wadsworthensis	0.6600231732
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.0000000000
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Sutterella.s__Sutterella_wadsworthensis	0.6600231732
PWY-6630: superpathway of L-tyrosine biosynthesis	0.0000000000
PWY-6630: superpathway of L-tyrosine biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis	0.0000000000
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.0000000000
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Escherichia.s__Escherichia_coli	0.0000000000
VALSYN-PWY: L-valine biosynthesis	0.0000000000
VALSYN-PWY: L-valine biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0.0000000000
SALVADEHYPOX-PWY: adenosine nucleotides degradation II|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-6609: adenine and adenosine salvage III	0.0000000000
PWY-6609: adenine and adenosine salvage III|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-6897: thiamin salvage II	0.0000000000
PWY-6897: thiamin salvage II|g__Escherichia.s__Escherichia_coli	0.0000000000
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.0000000000
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.0000000000
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.0000000000
NAGLIPASYN-PWY: lipid IVA biosynthesis	0.0000000000
NAGLIPASYN-PWY: lipid IVA biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-7199: pyrimidine deoxyribonucleosides salvage	0.0000000000
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	0.0000000000
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-6305: putrescine biosynthesis IV	0.0000000000
PWY-6305: putrescine biosynthesis IV|g__Escherichia.s__Escherichia_coli	0.0000009097
HISTSYN-PWY: L-histidine biosynthesis	0.0000000000
HISTSYN-PWY: L-histidine biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II	0.0000000000
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.0000000000
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0.0000000000
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0.0000000000
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.0000000000
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0.0000000000
PWY-6700: queuosine biosynthesis	0.0000000000
PWY-6892: thiazole biosynthesis I (E. coli)	0.0000000000
PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	0.0000000000
PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I	0.0000000000
PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0000000000
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.0000000000
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	0.0000000000
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0.0000000000
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0000000000
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Escherichia.s__Escherichia_coli	0.0000000000
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	0.0000000000
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	0.0000000000
PWY-7315: dTDP-N-acetylthomosamine biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-7664: oleate biosynthesis IV (anaerobic)	0.0000000000
PWY-7664: oleate biosynthesis IV (anaerobic)|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY0-1061: superpathway of L-alanine biosynthesis	0.0000000000
PWY0-1061: superpathway of L-alanine biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	0.0000000000
PWY-6612: superpathway of tetrahydrofolate biosynthesis	0.0000000000
PWY-6612: superpathway of tetrahydrofolate biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)	0.0000000000
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	0.0000000000
P441-PWY: superpathway of N-acetylneuraminate degradation	0.0000000000
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.0000000000
GLUTORN-PWY: L-ornithine biosynthesis	0.0000000000
GLUTORN-PWY: L-ornithine biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)	0.0000000000
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)	0.0000000000
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	0.0000000000
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	0.0000000000
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0.0000000000
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|g__Escherichia.s__Escherichia_coli	0.0000000000
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)	0.0000000000
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|g__Escherichia.s__Escherichia_coli	0.0000000000
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	0.0000000000
NAD-BIOSYNTHESIS-II: NAD salvage pathway II|g__Escherichia.s__Escherichia_coli	0.0000000000
PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I	0.0000000000
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.0000000000
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	0.0000000000
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0.0000000000
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.0000000000
PWY-7204: pyridoxal 5'-phosphate salvage II (plants)	0.0000000000
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.0000000000
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	0.0000000000
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0.0000000000
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)|g__Escherichia.s__Escherichia_coli	0.0000000000
COA-PWY: coenzyme A biosynthesis I	0.0000000000
COA-PWY: coenzyme A biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0000000000
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.0000000000
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-6823: molybdenum cofactor biosynthesis	0.0000000000
PWY-6823: molybdenum cofactor biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	0.0000000000
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-5667: CDP-diacylglycerol biosynthesis I	0.0000000000
PWY-5667: CDP-diacylglycerol biosynthesis I|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY0-1319: CDP-diacylglycerol biosynthesis II	0.0000000000
PWY0-1319: CDP-diacylglycerol biosynthesis II|g__Escherichia.s__Escherichia_coli	0.0000000000
PPGPPMET-PWY: ppGpp biosynthesis	0.0000000000
PPGPPMET-PWY: ppGpp biosynthesis|g__Klebsiella.s__Klebsiella_pneumoniae	0.0000092328
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.0000000000
METSYN-PWY: L-homoserine and L-methionine biosynthesis	0.0000000000
METSYN-PWY: L-homoserine and L-methionine biosynthesis|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-6803: phosphatidylcholine acyl editing	0.0000000000
PWY-6803: phosphatidylcholine acyl editing|g__Escherichia.s__Escherichia_coli	0.0000000000
PWY-6803: phosphatidylcholine acyl editing|g__Klebsiella.s__Klebsiella_pneumoniae	0.2040083412
