# Pathway	MSM5LLH4_P_Coverage
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	0.0000000000
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.0000000000
PENTOSE-P-PWY: pentose phosphate pathway	0.0000000000
PWY-5973: cis-vaccenate biosynthesis	0.0000000000
RHAMCAT-PWY: L-rhamnose degradation I	0.0000000000
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	0.0000000000
PWY-4981: L-proline biosynthesis II (from arginine)	0.0000000000
PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)	0.0000000000
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)	0.0000000000
TCA: TCA cycle I (prokaryotic)	0.0000000000
PWY0-1296: purine ribonucleosides degradation	0.0000000000
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)	0.0000000000
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	0.0000000000
CITRULBIO-PWY: L-citrulline biosynthesis	0.0000000000
PWY-5971: palmitate biosynthesis II (bacteria and plants)	0.0000000000
PWY0-1479: tRNA processing	0.0000000000
PWY0-1479: tRNA processing|g__Sutterella.s__Sutterella_wadsworthensis	0.0000000001
PWY-6608: guanosine nucleotides degradation III	0.0000000000
PWY-6124: inosine-5'-phosphate biosynthesis II	0.0000000000
PWY-6113: superpathway of mycolate biosynthesis	0.0000000000
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0.0000000000
PWY-6353: purine nucleotides degradation II (aerobic)	0.0000000000
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.0000000000
PWY-7663: gondoate biosynthesis (anaerobic)	0.0000000000
PANTOSYN-PWY: pantothenate and coenzyme A biosynthesis I	0.0000000000
PWY-6609: adenine and adenosine salvage III	0.0000000000
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	0.0000000000
PWYG-321: mycolate biosynthesis	0.0000000000
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.0000000000
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.0000000000
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.0000000000
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0000000000
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	0.0000000000
COA-PWY-1: coenzyme A biosynthesis II (mammalian)|g__Eubacterium.s__Eubacterium_ventriosum	0.0000000000
PWY-5659: GDP-mannose biosynthesis	0.0000000000
SALVADEHYPOX-PWY: adenosine nucleotides degradation II	0.0000000000
COA-PWY: coenzyme A biosynthesis I	0.0000000000
COA-PWY: coenzyme A biosynthesis I|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	0.0000000000
COA-PWY: coenzyme A biosynthesis I|g__Eubacterium.s__Eubacterium_ventriosum	0.0000000000
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	0.0000000000
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.0000000000
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0.0000000000
PWY-6151: S-adenosyl-L-methionine cycle I	0.0000000000
PWY-6305: putrescine biosynthesis IV	0.0000000000
